Partner Name,Model,CPL,CPA,Clicks,Leads,Applications,Admissions,Conversion,Revenue,Status,Program,State,City,Month
EduConnect India,CPA,980,8500,4200,842,512,314,61,2.7 Cr,active,MBA,Uttar Pradesh,Lucknow,Jan
Scholar Bridge,CPL,1120,0,3800,721,418,264,58,2.3 Cr,active,B.Tech,Delhi NCR,Delhi,Feb
CareerLaunch Pro,Both,950,7800,3500,698,384,237,55,2.1 Cr,active,BBA,Maharashtra,Mumbai,Mar
Campus Navigator,CPA,0,9200,3100,634,330,212,52,1.9 Cr,active,MCA,Karnataka,Bangalore,Jan
LearnPath Solutions,CPL,1050,0,2900,587,288,183,49,1.6 Cr,active,B.Com,Tamil Nadu,Chennai,Feb
Bright Futures Ed,CPA,0,8800,2600,521,245,156,47,1.4 Cr,active,MBA,Rajasthan,Jaipur,Mar
NextGen Advisors,CPL,1200,0,2300,463,204,130,44,1.1 Cr,review,B.Tech,Gujarat,Ahmedabad,Jan
Edu Reach Network,Both,1100,9500,2050,412,169,107,41,0.9 Cr,active,BBA,West Bengal,Kolkata,Feb
MentorLink India,CPA,0,10200,1940,389,152,96,39,0.8 Cr,review,MCA,Haryana,Gurgaon,Mar
StudyGuide Pro,CPL,1350,0,1700,341,123,78,36,0.7 Cr,inactive,B.Com,Madhya Pradesh,Bhopal,Jan
